representation,source_file,num_samples,num_candidate_points,num_candidates,threshold,calibration_mode,calibration_target,candidate_point_rate,score_mean,score_std,score_max,candidate_points_total,candidate_length_mean,candidate_length_max,peak_score_mean,peak_score_max
dual_mode,A1-13.1_preprocessed__dual_mode.csv,22296,540,8,96.79068385139442,global_quantile,0.995,0.024219590958019375,1365.171400035409,37222.01519285297,1813136.6772294594,541,67.625,102,243291.99526778943,1813136.6772294594
dual_mode,A1-14.1_preprocessed__dual_mode.csv,8728,8,1,96.79068385139442,global_quantile,0.995,0.0009165902841429881,2.0767258158473285,6.123704316244406,134.67830497722213,8,8.0,8,134.67830497722213,134.67830497722213
dual_mode,A1-15.1_preprocessed__dual_mode.csv,27940,4,0,96.79068385139442,global_quantile,0.995,0.00014316392269148176,1.5770427493172094,3.552228841308959,110.30463641638484,0,0.0,0,0.0,0.0
dual_mode,A1-16.1_preprocessed__dual_mode.csv,21424,216,8,96.79068385139442,global_quantile,0.995,0.010082150858849889,9.192188274659529,103.2022299682559,3211.9140101750218,211,26.375,70,1068.6566719542757,3211.9140101750218
dual_mode,A1-17.1_preprocessed__dual_mode.csv,1936,0,0,96.79068385139442,global_quantile,0.995,0.0,1.837831360842657,3.105469799463769,31.86191059578906,0,0.0,0,0.0,0.0
dual_mode,A1-18.1_preprocessed__dual_mode.csv,20036,43,2,96.79068385139442,global_quantile,0.995,0.0021461369534837293,3.2768127999119017,46.572431726954896,2281.4017048744154,43,21.5,36,1196.824394243672,2281.4017048744154
dual_mode,A1-19.1_preprocessed__dual_mode.csv,3317,15,1,96.79068385139442,global_quantile,0.995,0.004522158577027435,3.130838745495775,13.677849760261642,239.31413680211438,15,15.0,15,239.31413680211438,239.31413680211438
dual_mode,A1-2.1_preprocessed__dual_mode.csv,19417,54,2,96.79068385139442,global_quantile,0.995,0.002781068136169336,2.1097009722344864,9.858512941754979,271.25991317730404,54,27.0,37,240.30157738268144,271.25991317730404
dual_mode,A1-20.1_preprocessed__dual_mode.csv,1725,0,0,96.79068385139442,global_quantile,0.995,0.0,1.3058082564612739,1.2861601953570796,10.22045079983815,0,0.0,0,0.0,0.0
dual_mode,A1-21.1_preprocessed__dual_mode.csv,1437,0,0,96.79068385139442,global_quantile,0.995,0.0,1.2965996242696052,2.33772017745284,25.665890723546706,0,0.0,0,0.0,0.0
dual_mode,A1-22.1_preprocessed__dual_mode.csv,6907,0,0,96.79068385139442,global_quantile,0.995,0.0,1.3691808243625012,1.360702106926336,19.58501768194328,0,0.0,0,0.0,0.0
dual_mode,A1-23.1_preprocessed__dual_mode.csv,5098,0,0,96.79068385139442,global_quantile,0.995,0.0,1.403568793969975,2.0780912416196164,25.051152075045064,0,0.0,0,0.0,0.0
dual_mode,A1-25.1_preprocessed__dual_mode.csv,5077,0,0,96.79068385139442,global_quantile,0.995,0.0,1.8665088791713444,2.9212624869109765,52.94113448649871,0,0.0,0,0.0,0.0
dual_mode,A1-26.1_preprocessed__dual_mode.csv,1227,0,0,96.79068385139442,global_quantile,0.995,0.0,1.7234925167629491,2.0568868162092473,8.027966443407353,0,0.0,0,0.0,0.0
dual_mode,A1-27.1_preprocessed__dual_mode.csv,26256,119,3,96.79068385139442,global_quantile,0.995,0.004532297379646557,4.1312417973011355,64.3556440905914,3390.426024480604,119,39.666666666666664,63,1312.6046506049547,3390.426024480604
dual_mode,A1-29.1_preprocessed__dual_mode.csv,25614,126,4,96.79068385139442,global_quantile,0.995,0.004919184820801124,4.890869917370639,63.485401152257765,2672.14539275873,121,30.25,64,1303.1528632969687,2672.14539275873
