sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
170,2.674,1.5000000023921594,47397.6475,47397.71441519071,-0.06691519071318908,-0.02954502356199858,0.16486759382978197,-0.17920455364019217,0.17920455364019217,0.06691519071318908,47397.71441519071,0.0
173,2.664,1.499999995510071,47397.813,47397.761187684206,0.051812315796269104,-0.0010931656280364324,0.16486759382978197,-0.006630567006182394,0.006630567006182394,0.051812315796269104,47397.761187684206,0.0
174,2.70522222222222,1.5000000019040545,47397.912,47397.80733088992,0.1046691100782482,0.0569263754102091,0.16486759382978197,0.34528541411833125,0.34528541411833125,0.1046691100782482,47397.80733088992,0.0
176,2.662,1.499999998671673,47397.8515,47397.85278550079,-0.001285500795347616,0.10507350280062787,0.16486759382978197,0.6373205331613641,0.6373205331613641,0.001285500795347616,47397.85278550079,0.0
179,2.68366666666667,1.4999999990458768,47398.1345,47397.89765564832,0.23684435168252094,0.14995076983096725,0.16486759382978197,0.9095224012657355,0.9095224012657355,0.23684435168252094,47397.89765564832,0.0
180,2.689,1.4999999976926817,47398.0875,47397.94171512887,0.1457848711288534,0.1850425121123812,0.16341637977353335,1.1323376051336953,1.1323376051336953,0.1457848711288534,47397.94171512887,0.0
185,2.695,1.4999999982193777,47398.2635,47397.98505429985,0.27844570015440695,0.2025411485543979,0.16341637977353335,1.2394176693614476,1.2394176693614476,0.27844570015440695,47397.98505429985,0.0
188,2.72379166666667,1.5000000016503197,47398.307,47398.02755752372,0.2794424762832932,0.21689554787412313,0.15985723813692507,1.356807801773368,1.356807801773368,0.2794424762832932,47398.02755752372,0.0
190,2.73098148148148,1.5000000003355072,47398.39,47398.069241205136,0.3207587948636501,0.2416581045569425,0.15625813431888963,1.5465313572973405,1.5465313572973405,0.3207587948636501,47398.069241205136,0.0
192,2.74252777777778,1.499999999387865,47398.359,47398.11008951018,0.24891048981953645,0.24738726585282064,0.15261020004313175,1.6210401780674053,1.6210401780674053,0.24891048981953645,47398.11008951018,0.0
193,2.6755,1.4999999957593793,47398.3595,47398.150199956224,0.20930004377441946,0.2575629385011982,0.14772208190067662,1.74356423350691,1.74356423350691,0.20930004377441946,47398.150199956224,0.0
194,2.74766666666667,1.500000002915438,47398.4235,47398.18964129604,0.23385870395577513,0.24960941564818817,0.14713391967275968,1.6964777136593934,1.6964777136593934,0.23385870395577513,47398.18964129604,0.0
195,2.71525,1.4999999999735978,47398.45,47398.22842249065,0.22157750935002696,0.22942918961942066,0.14713391967275968,1.5593222156365694,1.5593222156365694,0.22157750935002696,47398.22842249065,0.0
196,2.757,1.5000000031525422,47398.555,47398.266593196655,0.2884068033454241,0.20707624893192486,0.14772208190067662,1.4017961720249514,1.4017961720249514,0.2884068033454241,47398.266593196655,0.0
197,2.6955,1.5000000002758085,47398.5415,47398.304134075035,0.23736592496425146,0.18893241420462598,0.15261020004313175,1.238006464516976,1.238006464516976,0.23736592496425146,47398.304134075035,0.0
198,2.748,1.4999999916212827,47398.548,47398.341136005525,0.20686399447731674,0.1742142482617055,0.15625813431888963,1.1149131468968603,1.1149131468968603,0.20686399447731674,47398.341136005525,0.0
199,2.779,1.5000000033759326,47398.4755,47398.377679557976,0.09782044202438556,0.14697199095907207,0.15985723813692507,0.9193952846425621,0.9193952846425621,0.09782044202438556,47398.377679557976,0.0
201,2.6875,1.5000000007723695,47398.533500000005,47398.41391767133,0.1195823286761879,0.12963008561847447,0.16341637977353335,0.7932502592342285,0.7932502592342285,0.1195823286761879,47398.41391767133,0.0
202,2.72411111111111,1.4999999982903314,47398.5355,47398.449884022724,0.08561597727384651,0.10523132090343602,0.16486759382978197,0.6382777746612982,0.6382777746612982,0.08561597727384651,47398.449884022724,0.0
203,2.70104166666667,1.500000004954477,47398.5625,47398.48566344971,0.07683655028813519,0.08803320138233378,0.16569885822923727,0.5312842968449645,0.5312842968449645,0.07683655028813519,47398.48566344971,0.0
